model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC
KNN,7,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,7,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,7,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,7,0,0.45816,0.46212,0.1111111111111111,0.8,0.09091,0.83333,-0.08206
Xgboost,7,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,7,1,0.61184,0.72159,0.3333333333333333,0.9375,0.81818,0.625,0.34645
DecisionTree,7,1,0.48457,0.49337,0.16666666666666666,0.8113207547169812,0.09091,0.89583,-0.01708
KNN,7,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,7,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,7,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,7,1,0.71905,0.76989,0.47058823529411764,0.9285714285714286,0.72727,0.8125,0.46417
Xgboost,7,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
RandomForestClassifier,8,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,8,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,8,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,8,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,8,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,8,0,0.47695,0.47633,0.15384615384615385,0.8043478260869565,0.18182,0.77083,-0.04449
Xgboost,8,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,8,1,0.61411,0.69697,0.3333333333333333,0.9142857142857143,0.72727,0.66667,0.31232
DecisionTree,8,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,8,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,8,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,8,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
