model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.4949494949494949,0.5,0.5,0.5,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.32999999999999974
SynClass,0.4949494949494949,0.5,0.5,0.5,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.33999999999999975
SynClass,0.4949494949494949,0.5,0.5,0.5,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.34999999999999976
SynClass,0.4949494949494949,0.5,0.5,0.5,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.35999999999999976
SynClass,0.5488721804511277,0.55,0.5454545454545454,0.5555555555555556,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.3699999999999998
SynClass,0.5488721804511277,0.55,0.5454545454545454,0.5555555555555556,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.3799999999999998
SynClass,0.5488721804511277,0.55,0.5454545454545454,0.5555555555555556,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.3899999999999998
SynClass,0.5488721804511277,0.55,0.5454545454545454,0.5555555555555556,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.3999999999999998
SynClass,0.5488721804511277,0.55,0.5454545454545454,0.5555555555555556,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.4099999999999998
SynClass,0.5,0.5,0.5,0.5,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.4199999999999998
SynClass,0.5,0.5,0.5,0.5,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.4299999999999997
SynClass,0.5,0.5,0.5,0.5,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.4399999999999997
SynClass,0.5488721804511277,0.5499999999999999,0.5555555555555556,0.5454545454545454,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.44999999999999973
SynClass,0.595959595959596,0.5999999999999999,0.625,0.5833333333333334,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.45999999999999974
SynClass,0.595959595959596,0.5999999999999999,0.625,0.5833333333333334,[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 0.6 0.6 0.7 0.8 0.8 1. ],0.59,0.46999999999999975
