model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC,ATT
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.3 0.5 0.5 0.7 0.8 0.8 1.  1.  1. ],[0.  0.1 0.2 0.2 0.4 0.4 0.4 0.5 0.5 0.7 1. ],0.6950000000000001,5
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.4 1. ],[0.  0.  0.  0.1 0.1 0.3 0.3 1. ],0.57,6
DecisionTree,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.2 0.3 0.3 0.5 1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 1. ],0.6500000000000001,6
KNN,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.2 1. ],[0.  0.1 1. ],0.55,6
OneClassSVM,0,0.44862,0.45,0.45454545454545453,0.4444444444444444,0.5,0.4,-0.1005,[0.  0.1 0.1 0.2 0.2 0.7 0.8 0.8 0.9 0.9 1. ],[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.6 0.6 1.  1. ],0.56,6
LocalOutlierFactor,0,0.53964,0.55,0.5714285714285714,0.5384615384615384,0.4,0.7,0.10483,[0.  0.1 0.2 0.2 0.3 0.3 0.4 0.4 0.6 0.6 1. ],[0.  0.  0.  0.2 0.3 0.4 0.5 0.6 0.6 1.  1. ],0.41,6
IsolationForest,0,0.30667,0.35,0.2,0.4,0.1,0.6,-0.34641,[0.  0.  0.4 0.4 0.5 0.5 0.6 0.7 0.8 0.9 0.9 1.  1. ],[0.  0.1 0.1 0.3 0.3 0.4 0.5 0.5 0.6 0.6 0.9 0.9 1. ],0.63,6
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.3 0.4 0.5 0.6 0.8 0.8 1. ],[0.  0.  0.  0.3 0.4 0.4 0.5 0.5 0.6 1. ],0.6200000000000001,6
RandomForest,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 0.3 0.4 0.5 0.8 1. ],[0.  0.1 0.1 0.4 0.5 0.5 0.6 1. ],0.52,0
DecisionTree,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.2 0.3 0.4 0.5 0.6 0.9 1. ],[0.  0.1 0.4 0.4 0.5 0.5 0.6 0.7 1. ],0.48,0
KNN,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,0
OneClassSVM,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.1 0.1 0.2 0.3 0.5 0.8 0.9 1. ],[0.  0.  0.1 0.1 0.2 0.5 0.6 0.9 1. ],0.5700000000000001,0
LocalOutlierFactor,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,0
IsolationForest,1,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.3 0.4 0.6 0.7 0.8 0.9 0.9 1. ],[0.  0.1 0.2 0.5 0.8 0.9 0.9 1.  1. ],0.5599999999999999,0
Xgboost,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.3 0.5 1. ],[0.  0.1 0.4 0.5 1. ],0.48,0
RandomForest,1,0.40476,0.5,0.5,0.5,0.1,0.9,0.0,[0.  0.1 0.2 1. ],[0.  0.1 0.1 1. ],0.545,1
DecisionTree,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.1 0.3 0.4 0.5 0.7 1. ],[0.  0.  0.1 0.1 0.3 0.4 0.4 1. ],0.635,1
KNN,1,0.43574,0.55,1.0,0.5263157894736842,0.1,1.0,0.22942,[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.6 0.6 0.7 1. ],[0.  0.  0.1 0.1 0.2 0.2 0.3 0.3 0.5 0.5 1. ],0.615,1
