model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
KNN,19,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 1. ],[0.  0.2 1. ],[2. 1. 0.]
OneClassSVM,19,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,19,0.375,0.4,0.42857142857142855,0.3333333333333333,0.6,0.2,-0.21822,[],[],[]
IsolationForest,19,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,19,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.4 0.8 0.8 1. ],"[1.730101   0.730101   0.16279124 0.12098486 0.0907077  0.08267204
 0.03768007 0.00540121]"
RandomForest,20,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 1.  1. ],[0. 0. 0. 1.],[1.70041737 0.70041737 0.20114997 0.00276788]
DecisionTree,20,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.5        0.4        0.2        0.        ]
KNN,20,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 1. ],[0.  0.2 1. ],[2. 1. 0.]
OneClassSVM,20,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,20,0.52381,0.6,0.5555555555555556,1.0,1.0,0.2,0.33333,[],[],[]
IsolationForest,20,0.79167,0.8,0.7142857142857143,1.0,1.0,0.6,0.65465,[],[],[]
Xgboost,20,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.6 0.6 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.6714125  0.6714124  0.21099243 0.19270356 0.14143614 0.07946392
 0.03105178]"
RandomForest,21,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.6 0.8 1. ],[0.  0.  0.  0.2 1. ],[1.75 0.75 0.5  0.25 0.  ]
DecisionTree,21,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.5        0.4        0.2        0.        ]
